0000000;I-SE-nr;P-SE-nr;CPR-nr;Navn;Per-start;Per-slut;Kode68;Feltnr 0013;Feltnr 0014;Feltnr 0015;Feltnr 0016;Feltnr 0017;Feltnr 0019;Feltnr 0020;Feltnr 0021;Feltnr 0022;Feltnr 0023;Feltnr 0025;Feltnr 0026;Feltnr 0036;Feltnr 0037;Feltnr 0038;Feltnr 0039;Feltnr 0041;Feltnr 0042;Feltnr 0046;Feltnr 0047;Feltnr 0048;Feltnr 0050;Feltnr 0051;Feltnr 0052;Feltnr 0053;Feltnr 0054;Feltnr 0055;Feltnr 0056;Feltnr 0057;Feltnr 0058;Feltnr 0066;Feltnr 0069;Feltnr 0070;Feltnr 0071;Feltnr 0088;Feltnr 0089;Feltnr 0090;Feltnr 0091;Feltnr 0096;Feltnr 0098;Feltnr 0113;Feltnr 0147;Feltnr 0148;Feltnr 0157;Feltnr 0158;Feltnr 0198;Feltnr 0200;Feltnr 0201;Feltnr 0202;Feltnr 0210;Feltnr 0248;Feltnr 0249;Feltnr 0302;Feltnr 0304;Feltnr 20004;Feltnr 20006;Feltnr 0083;Feltnr 0200;Feltnr 0203;Feltnr 0211;Feltnr 20005
0000001;Flere;39695243;Alle;Volt;202101;202112;;4324077,37;;1235445;345928;;;3000;;;;;7781,25;;;;;;;35974,8;;24928,95;;;;;;1134;;;;;;;;;;;;;;;136975,71;250707,37;;;;;;99114,85;;;;;;6223,26;;;21139,67;240,64;;3,77
9999999;0000001;Dannet i eIndkomst 2023.11.08 09:10:41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
